Solid,LDA-uncorr,LDA-corr,PBE-uncorr,PBE-corr,PBEsol-uncorr,PBEsol-corr,M06-L-uncorr,M06-L-corr,SCAN-uncorr,SCAN-corr,HSE06-uncorr,HSE06-corr,Expt,Error
Li,3.366,3.387,3.436,3.462,3.434,3.461,3.409,3.437,3.474,3.503,3.466,3.49,3.477,0.004314064
Na,4.052,4.067,4.203,4.219,4.172,4.189,4.029,4.046,4.207,4.223,4.215,4.231,4.225,0.001420118
K,5.043,5.055,5.284,5.301,5.214,5.23,4.924,4.943,5.317,5.337,5.313,5.328,5.225,0.014545455
Rb,5.376,5.385,5.669,5.677,5.568,5.576,5.238,5.247,5.703,5.708,5.756,5.765,5.585,0.016472695
Ca,5.336,5.346,5.527,5.538,5.455,5.466,5.384,5.392,5.549,5.559,5.582,5.593,5.565,0.004851752
Sr,5.789,5.795,6.02,6.028,5.907,5.914,5.881,5.887,6.076,6.085,6.092,6.1,6.048,0.003306878
Ba,4.758,4.76,5.011,5.015,4.868,4.872,4.983,4.987,5.036,5.039,5.087,5.091,5.007,0.001597763
Al,3.985,3.998,4.041,4.054,4.015,4.028,3.948,3.957,4.014,4.028,4.02,4.033,4.032,0.005456349
Pb,4.879,4.884,5.036,5.041,4.929,4.933,5.068,5.072,4.97,4.974,5.009,5.014,4.905,0.027726809
Fe,2.747,2.75,2.831,2.834,2.786,2.79,2.856,2.86,2.818,2.822,2.897,2.903,2.861,0.00943726
V,2.924,2.929,2.996,3.001,2.957,2.962,2.997,3.001,2.971,2.975,2.97,2.974,3.028,0.008916777
Mo,3.111,3.114,3.161,3.164,3.13,3.132,3.163,3.166,3.143,3.146,3.145,3.147,3.144,0.006361323
W,3.134,3.136,3.183,3.185,3.153,3.155,3.184,3.186,3.15,3.152,3.173,3.175,3.162,0.007273877
Nb,3.247,3.25,3.31,3.313,3.271,3.274,3.322,3.325,3.294,3.297,3.305,3.308,3.296,0.005157767
Ta,3.25,3.253,3.318,3.32,3.278,3.28,3.328,3.33,3.274,3.276,3.328,3.33,3.301,0.005755832
Ni,3.423,3.429,3.518,3.524,3.462,3.468,3.492,3.499,3.458,3.465,3.512,3.519,3.513,0.003131227
Cu,3.521,3.527,3.631,3.638,3.564,3.571,3.597,3.604,3.558,3.565,3.633,3.64,3.603,0.009714127
