SET   SYSTEM                                       UNIT              PBE          PBE-D3             MS2            SCAN          r2SCAN      SCAN-rVV10            MCML      MCML-rVV10      VCML-rVV10             REF
DBH24 r1forward                                    [eV]           0.3859          0.3777          0.3888          0.3422          0.3920          0.3370          0.3584          0.3545          0.3965          0.7428
DBH24 r1reverse                                    [eV]           2.2597          2.2487          3.1405          2.8200          2.7248          2.8062          3.2016          3.1914          3.0953          3.5762
DBH24 r2forward                                    [eV]           0.4288          0.4267          0.5312          0.3630          0.3939          0.3589          0.5437          0.5404          0.5561          0.7806
DBH24 r2reverse                                    [eV]           0.4288          0.4267          0.5312          0.3630          0.3939          0.3589          0.5437          0.5404          0.5561          0.7806
DBH24 r3forward                                    [eV]          -0.2457         -0.2779         -0.1569         -0.1397         -0.1440         -0.1515         -0.1472         -0.1579         -0.1408          0.2927
DBH24 r3reverse                                    [eV]           1.7310          1.7075          1.8695          1.9295          1.9148          1.9200          1.8044          1.7957          1.8278          2.6018
DBH24 r4forward                                    [eV]           0.3301          0.3316          0.3336          0.3228          0.3621          0.3196          0.4259          0.4235          0.4248          0.5815
DBH24 r4reverse                                    [eV]           0.3301          0.3316          0.3336          0.3228          0.3621          0.3196          0.4259          0.4235          0.4248          0.5815
DBH24 r5forward                                    [eV]           0.0043          0.0060         -0.0458         -0.0395         -0.0082         -0.0410          0.0235          0.0224          0.0285          0.1492
DBH24 r5reverse                                    [eV]           0.8600          0.8632          0.9348          1.0054          0.9929          1.0017          0.9480          0.9452          0.9588          1.2758
DBH24 r6forward                                    [eV]          -0.2782         -0.3021         -0.3963         -0.4153         -0.3029         -0.3692         -0.4210         -0.4314         -0.2971         -0.1058
DBH24 r6reverse                                    [eV]           0.5284          0.5052          0.4382          0.4793          0.5290          0.4663          0.4455          0.4355          0.4893          0.7658
DBH24 r7forward                                    [eV]           0.1848          0.1826          0.2379          0.1354          0.1522          0.1312          0.2614          0.2589          0.2953          0.6227
DBH24 r7reverse                                    [eV]           0.4375          0.4358          0.5052          0.4652          0.4561          0.4643          0.4578          0.4578          0.4418          0.4601
DBH24 r8forward                                    [eV]          -0.0076         -0.0232         -0.0200         -0.2018         -0.1533         -0.2061          0.0028         -0.0004          0.0138          0.0746
